# DO NOT EDIT BY HAND - rebuild with tools/generate/import_vectors.py
# Interrupt vector map per startup variant. Slot 0 (reset) is emitted by
# crt0_ch32.S, so slots start at 1. An empty handler means a reserved slot.
# Verified against the EVT startup sources every PR by tests/startup/.
variant,slot,handler
v20x_d8w,28,DMA1_Channel2_IRQHandler
v20x_d8w,29,DMA1_Channel3_IRQHandler
v20x_d8w,30,DMA1_Channel4_IRQHandler
v20x_d8w,31,DMA1_Channel5_IRQHandler
v20x_d8w,32,DMA1_Channel6_IRQHandler
v20x_d8w,33,DMA1_Channel7_IRQHandler
v20x_d8w,34,ADC1_2_IRQHandler
v20x_d8w,35,USB_HP_CAN1_TX_IRQHandler
v20x_d8w,36,USB_LP_CAN1_RX0_IRQHandler
v20x_d8w,37,CAN1_RX1_IRQHandler
v20x_d8w,38,CAN1_SCE_IRQHandler
v20x_d8w,39,EXTI9_5_IRQHandler
v20x_d8w,40,TIM1_BRK_IRQHandler
v20x_d8w,41,TIM1_UP_IRQHandler
v20x_d8w,42,TIM1_TRG_COM_IRQHandler
v20x_d8w,43,TIM1_CC_IRQHandler
v20x_d8w,44,TIM2_IRQHandler
v20x_d8w,45,TIM3_IRQHandler
v20x_d8w,46,TIM4_IRQHandler
v20x_d8w,47,I2C1_EV_IRQHandler
v20x_d8w,48,I2C1_ER_IRQHandler
v20x_d8w,49,I2C2_EV_IRQHandler
v20x_d8w,50,I2C2_ER_IRQHandler
v20x_d8w,51,SPI1_IRQHandler
v20x_d8w,52,SPI2_IRQHandler
v20x_d8w,53,USART1_IRQHandler
v20x_d8w,54,USART2_IRQHandler
v20x_d8w,55,USART3_IRQHandler
v20x_d8w,56,EXTI15_10_IRQHandler
v20x_d8w,57,RTCAlarm_IRQHandler
v20x_d8w,58,USBWakeUp_IRQHandler
v20x_d8w,59,USBFS_IRQHandler
v20x_d8w,60,USBFSWakeUp_IRQHandler
v20x_d8w,61,ETH_IRQHandler
v20x_d8w,62,ETHWakeUp_IRQHandler
v20x_d8w,63,BB_IRQHandler
v20x_d8w,64,LLE_IRQHandler
v20x_d8w,65,TIM5_IRQHandler
v20x_d8w,66,UART4_IRQHandler
v20x_d8w,67,DMA1_Channel8_IRQHandler
v20x_d8w,68,OSC32KCal_IRQHandler
v20x_d8w,69,OSCWakeUp_IRQHandler
v205,1,
v205,2,NMI_Handler
v205,3,HardFault_Handler
v205,4,
v205,5,Ecall_M_Mode_Handler
v205,6,
v205,7,
v205,8,Ecall_U_Mode_Handler
v205,9,Break_Point_Handler
v205,10,
v205,11,
v205,12,SysTick_Handler
v205,13,
v205,14,SW_Handler
v205,15,
v205,16,WWDG_IRQHandler
v205,17,PVD_IRQHandler
v205,18,TAMPER_IRQHandler
v205,19,RTC_IRQHandler
v205,20,FLASH_IRQHandler
v205,21,RCC_IRQHandler
v205,22,EXTI0_IRQHandler
v205,23,EXTI1_IRQHandler
v205,24,EXTI2_IRQHandler
v205,25,EXTI3_IRQHandler
v205,26,EXTI4_IRQHandler
v205,27,DMA1_Channel1_IRQHandler
v205,28,DMA1_Channel2_IRQHandler
v205,29,DMA1_Channel3_IRQHandler
v205,30,DMA1_Channel4_IRQHandler
v205,31,DMA1_Channel5_IRQHandler
v205,32,DMA1_Channel6_IRQHandler
v205,33,DMA1_Channel7_IRQHandler
v205,34,ADC_IRQHandler
v205,35,USB_HP_CAN1_TX_IRQHandler
v205,36,USB_LP_CAN1_RX0_IRQHandler
v205,37,CAN1_RX1_IRQHandler
v205,38,CAN1_SCE_IRQHandler
v205,39,EXTI9_5_IRQHandler
v205,40,TIM1_BRK_IRQHandler
v205,41,TIM1_UP_IRQHandler
v205,42,TIM1_TRG_COM_IRQHandler
v205,43,TIM1_CC_IRQHandler
v205,44,TIM2_IRQHandler
v205,45,TIM3_IRQHandler
v205,46,TIM4_IRQHandler
v205,47,I2C1_EV_IRQHandler
v205,48,I2C1_ER_IRQHandler
v205,49,I2C2_EV_IRQHandler
v205,50,I2C2_ER_IRQHandler
v205,51,SPI1_IRQHandler
